"","lhs","rhs","support","confidence","lift","count"
"30","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.210526315789474,0.444444444444444,0.938271604938272,12
"31","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}",0.210526315789474,0.444444444444444,0.938271604938272,12
"139","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{person}",0.210526315789474,1,1,12
"140","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook,person}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.210526315789474,0.444444444444444,0.938271604938272,12
"141","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook,person}","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}",0.210526315789474,0.444444444444444,0.938271604938272,12
"4","{nannannannannanRoom1LampnannanOffnannannannannannanwebhook}","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}",0.192982456140351,0.6875,1.70380434782609,11
"5","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}","{nannannannannanRoom1LampnannanOffnannannannannannanwebhook}",0.192982456140351,0.478260869565217,1.70380434782609,11
"20","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.192982456140351,0.478260869565217,1.18525519848771,11
"21","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}",0.192982456140351,0.478260869565217,1.18525519848771,11
"22","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.192982456140351,0.478260869565217,1.00966183574879,11
"23","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}",0.192982456140351,0.407407407407407,1.00966183574879,11
"61","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook,nannannannannanRoom1LampnannanOffnannannannannannanwebhook}","{person}",0.192982456140351,1,1,11
"62","{nannannannannanRoom1LampnannanOffnannannannannannanwebhook,person}","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}",0.192982456140351,0.6875,1.70380434782609,11
"63","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook,person}","{nannannannannanRoom1LampnannanOffnannannannannannanwebhook}",0.192982456140351,0.478260869565217,1.70380434782609,11
"118","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}","{person}",0.192982456140351,1,1,11
"119","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook,person}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.192982456140351,0.478260869565217,1.18525519848771,11
"120","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,person}","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}",0.192982456140351,0.478260869565217,1.18525519848771,11
"121","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook,nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}","{person}",0.192982456140351,1,1,11
"122","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook,person}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.192982456140351,0.478260869565217,1.00966183574879,11
"123","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook,person}","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}",0.192982456140351,0.407407407407407,1.00966183574879,11
"18","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.175438596491228,0.434782608695652,1.23913043478261,10
"19","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}",0.175438596491228,0.5,1.23913043478261,10
"26","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.175438596491228,0.37037037037037,1.05555555555556,10
"27","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}",0.175438596491228,0.5,1.05555555555556,10
"28","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.175438596491228,0.37037037037037,0.917874396135266,10
"29","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}",0.175438596491228,0.434782608695652,0.917874396135266,10
"112","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}","{person}",0.175438596491228,1,1,10
"113","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook,person}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.175438596491228,0.434782608695652,1.23913043478261,10
"114","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,person}","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}",0.175438596491228,0.5,1.23913043478261,10
"124","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.175438596491228,1,2.47826086956522,10
"125","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.175438596491228,1,2.85,10
"126","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}",0.175438596491228,0.555555555555556,1.17283950617284,10
"127","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.175438596491228,1,2.11111111111111,10
"128","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.175438596491228,0.833333333333333,2.375,10
"129","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}",0.175438596491228,0.526315789473684,1.11111111111111,10
"130","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}","{person}",0.175438596491228,1,1,10
"131","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook,person}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.175438596491228,0.37037037037037,1.05555555555556,10
"132","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,person}","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}",0.175438596491228,0.5,1.05555555555556,10
"133","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.175438596491228,1,2.11111111111111,10
"134","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.175438596491228,0.833333333333333,2.06521739130435,10
"135","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}",0.175438596491228,0.5,1.05555555555556,10
"136","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}","{person}",0.175438596491228,1,1,10
