_id,_index,_score,_source.message,_source.payload,_source.timestamp,_type
Wed Apr 11 2018 08:00:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 175457 Events,,2018-04-11T08:00:00.023Z,webhook
Wed Apr 11 2018 08:10:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 176116 Events,,2018-04-11T08:10:00.044Z,webhook
Wed Apr 11 2018 11:30:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 187257 Events,,2018-04-11T11:30:00.045Z,webhook
Wed Apr 11 2018 11:45:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 188028 Events,,2018-04-11T11:45:00.022Z,webhook
Wed Apr 11 2018 12:10:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 189455 Events,,2018-04-11T12:10:00.025Z,webhook
Wed Apr 11 2018 12:20:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 190018 Events,,2018-04-11T12:20:00.017Z,webhook
Wed Apr 11 2018 08:50:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 179647 Events,,2018-04-11T08:50:00.013Z,webhook
Wed Apr 11 2018 09:00:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 180404 Events,,2018-04-11T09:00:00.053Z,webhook
Wed Apr 11 2018 09:45:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 181322 Events,,2018-04-11T09:45:00.025Z,webhook
Wed Apr 11 2018 09:55:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 181367 Events,,2018-04-11T09:55:00.015Z,webhook
Wed Apr 11 2018 11:00:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 183563 Events,,2018-04-11T11:00:00.032Z,webhook
Wed Apr 11 2018 12:40:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 190862 Events,,2018-04-11T12:40:00.020Z,webhook
Wed Apr 11 2018 13:50:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 200861 Events,,2018-04-11T13:50:00.044Z,webhook
Wed Apr 11 2018 15:40:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 210218 Events,,2018-04-11T15:40:00.087Z,webhook
Wed Apr 11 2018 16:30:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 213080 Events,,2018-04-11T16:30:00.084Z,webhook
Wed Apr 11 2018 16:40:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 213811 Events,,2018-04-11T16:40:00.023Z,webhook
Wed Apr 11 2018 16:45:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 214924 Events,,2018-04-11T16:45:00.030Z,webhook
Wed Apr 11 2018 16:50:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 216258 Events,,2018-04-11T16:50:00.053Z,webhook
Wed Apr 11 2018 17:25:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 223309 Events,,2018-04-11T17:25:00.017Z,webhook
Wed Apr 11 2018 15:10:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 210000 Events,,2018-04-11T15:10:00.019Z,webhook
Mon Apr 16 2018 19:04:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-16,1.0,Found 21 Events,21,2018-04-16T19:04:00.018Z,webhook
Mon Apr 16 2018 19:43:35 GMT+0000 (UTC),safehouse-ap-devices-2018-04-16,1.0,Found 1 Events,1,2018-04-16T19:43:35.175Z,webhook
Mon Apr 16 2018 19:51:50 GMT+0000 (UTC),safehouse-ap-devices-2018-04-16,1.0,Found 1 Events,1,2018-04-16T19:51:50.285Z,webhook
Mon Apr 16 2018 19:56:15 GMT+0000 (UTC),safehouse-ap-devices-2018-04-16,1.0,Found 1 Events,1,2018-04-16T19:56:15.233Z,webhook
Mon Apr 16 2018 19:56:20 GMT+0000 (UTC),safehouse-ap-devices-2018-04-16,1.0,Found 1 Events,1,2018-04-16T19:56:20.221Z,webhook
